simulation_id,timestamp,cycle,agent_id,name,archetype,capital,inventory_count,inventory_value,total_sales,total_purchases,total_profit,total_assets
sim_20260102121425_c6e699,2026-01-02T12:30:07.968211,2,agent_005,Specialist_5,Specialist,5791.28234250569,4,2240.1756347032524,0,1,0,8031.457977208943
sim_20260102121425_c6e699,2026-01-02T12:30:07.968514,2,agent_006,Emotional_6,Emotional,5789.467708968798,4,2296.7580613969926,1,2,46.534472499783135,8086.225770365791
sim_20260102121425_c6e699,2026-01-02T12:30:07.968846,2,agent_007,Data_Driven_7,Data_Driven,5000.0,3,1397.3378847800584,0,0,0,6397.337884780059
sim_20260102121425_c6e699,2026-01-02T12:30:07.968987,2,agent_008,Social_8,Social,5449.62576282376,4,1499.4614342071159,1,2,131.88157649375933,6949.087197030876
sim_20260102121425_c6e699,2026-01-02T12:30:07.968987,2,agent_009,Chaotic_9,Chaotic,3548.008749947239,1,453.5278612537151,3,1,2694.040888693524,4001.5366112009538
sim_20260102121425_c6e699,2026-01-02T12:36:14.257073,3,agent_000,Agressive_Trader_0,Agressive_Trader,4256.369153831867,2,718.0163136564149,2,1,879.7738975405509,4974.385467488282
sim_20260102121425_c6e699,2026-01-02T12:36:14.258072,3,agent_001,Patient_Investor_1,Patient_Investor,4550.37423717624,2,840.8065200253786,2,1,272.25581366999944,5391.180757201619
sim_20260102121425_c6e699,2026-01-02T12:36:14.258238,3,agent_002,Opportunist_2,Opportunist,5328.465527500217,4,1782.4176840108805,0,1,0,7110.883211511097
sim_20260102121425_c6e699,2026-01-02T12:36:14.258877,3,agent_003,Risk_Taker_3,Risk_Taker,6578.868217343152,5,2942.0342114119453,1,3,504.1962503558492,9520.902428755096
sim_20260102121425_c6e699,2026-01-02T12:36:14.259141,3,agent_004,Conservative_4,Conservative,4208.71765749431,2,990.9308204244722,1,0,158.25765749430968,5199.648477918782
sim_20260102121425_c6e699,2026-01-02T12:36:14.259453,3,agent_005,Specialist_5,Specialist,5000.0,3,1448.893292197562,1,1,1058.7176574943096,6448.893292197562
sim_20260102121425_c6e699,2026-01-02T12:36:14.259453,3,agent_006,Emotional_6,Emotional,5789.467708968798,4,2296.7580613969926,1,2,46.534472499783135,8086.225770365791
sim_20260102121425_c6e699,2026-01-02T12:36:14.260034,3,agent_007,Data_Driven_7,Data_Driven,5000.0,3,1397.3378847800584,0,0,0,6397.337884780059
sim_20260102121425_c6e699,2026-01-02T12:36:14.260307,3,agent_008,Social_8,Social,5739.728747738178,4,1789.5644191215342,2,3,146.09632020244385,7529.293166859712
